"bin","G05_1_A","G05_1_B","G05_1_C","G05_1_D","G05_1_E","G05_1_F","G05_2_A","G05_2_B","G05_2_C","G05_2_D","G05_2_E","G05_2_F","G05_3_A","G05_3_B","G05_3_C","G05_3_D","G05_3_E","G05_3_F","G05_4_B","G05_4_C","G05_4_D","G05_4_E","G05_4_F","G05_5_A","G05_5_B","G05_5_C","G05_5_D","G05_5_E","G05_5_F","G05_6_A","G05_6_B","G05_6_C","G05_6_D","G05_6_E","G05_6_F","G05_7_A","G05_7_B","G05_7_C","G10_1_A","G10_1_B","G10_1_C","G10_1_D","G10_1_E","G10_1_F","G10_2_A","G10_2_B","G10_2_C","G10_2_D","G10_2_E","G10_2_F","G10_3_A","G10_3_B","G10_3_C","G10_3_D","G10_3_E","G10_3_F","G10_4_A","G10_4_B","G10_4_C","G10_4_D","G10_4_E","G10_4_F","G10_5_A","G10_5_B","G10_5_C","G10_5_D","G10_5_E","G10_5_F","G10_6_A","G10_6_B","G10_6_C","G10_6_D","G10_6_E","G10_6_F","G10_7_B","G10_7_C","G10_7_E","G10_7_F","MES_1_C","MES_1_E","MES_2_A","MES_2_B","MES_2_C","MES_2_D","MES_2_E","MES_2_F","MES_3_A","MES_3_B","MES_3_C","MES_3_D","MES_3_F","MES_4_A","MES_4_B","MES_4_C","MES_4_F","MES_5_A","MES_5_B","MES_5_C","MES_5_D","MES_5_E","MES_5_F","MES_6_A","MES_6_B","MES_6_C","MES_6_D","MES_6_E","MES_7_A","MES_7_B","MES_7_C","MES_7_D","MES_7_E","MES_7_F","pH10_1_A","pH10_1_C","pH10_1_D","pH10_1_E","pH10_1_F","pH10_2_A","pH10_2_B","pH10_2_C","pH10_2_D","pH10_2_E","pH10_2_F","pH10_3_C","pH10_3_F","pH10_4_F","pH10_5_A","pH10_5_B","pH10_5_C","pH10_5_D","pH10_5_E","pH10_5_F","pH10_6_A","pH10_6_B","pH10_6_C","pH10_6_E","pH10_6_F","pH10_7_B","pH10_7_C","pH10_7_D","pH10_7_E","pH10_7_F","pH6_1_A","pH6_1_B","pH6_1_C","pH6_1_D","pH6_1_E","pH6_1_F","pH6_2_A","pH6_2_B","pH6_2_C","pH6_2_D","pH6_2_E","pH6_2_F","pH6_3_A","pH6_3_B","pH6_3_C","pH6_3_D","pH6_3_E","pH6_3_F","pH6_4_B","pH6_4_C","pH6_4_E","pH6_4_F","pH6_5_A","pH6_5_B","pH6_5_C","pH6_5_D","pH6_5_E","pH6_5_F","pH6_6_A","pH6_6_B","pH6_6_C","pH6_6_D","pH6_6_E","pH6_6_F","pH6_7_A","pH6_7_B","pH6_7_C","pH6_7_D","pH6_7_F","pH8_1_B","pH8_1_C","pH8_1_D","pH8_1_E","pH8_1_F","pH8_2_A","pH8_2_B","pH8_2_C","pH8_2_D","pH8_2_E","pH8_2_F","pH8_3_A","pH8_3_D","pH8_3_E","pH8_3_F","pH8_4_B","pH8_4_C","pH8_4_E","pH8_4_F","pH8_5_A","pH8_5_B","pH8_5_C","pH8_5_D","pH8_5_E","pH8_5_F","pH8_6_A","pH8_6_B","pH8_6_C","pH8_6_D","pH8_6_E","pH8_6_F","pH8_7_A","pH8_7_B","pH8_7_C","pH8_7_D","pH8_7_F"
"G05_1_E_cluster_DBSCAN_round3_4",827448,1126994,492761,1826707,2217626,1265826,2625376,3140767,1561307,2439081,445902,800416,318336,598919,1765143,805359,464094,166819,75428,268046,63286,29126,36252,55590,30144,193030,23115,6720,27481,37430,34084,49637,77259,82478,56430,2429,7269,32730,698469,2676972,971512,2154990,1420244,735312,1178053,1121875,890349,1010160,1487987,1731418,1784192,2805927,355146,3521155,344862,87117,157997,207684,161161,319225,181785,216530,139210,161964,502023,58108,22702,70056,42542,39033,371872,29390,157010,50979,93732,87883,30737,36390,148519,464395,132236,227137,357310,184434,71308,976731,112522,195473,88473,6922,6829,29766,23555,59191,15797,18685,49809,30360,20736,11969,14988,8130,11800,15343,14762,6416,24167,20126,24579,25111,9183,1126,29115,101267,53320,149843,90705,50949,10363,30538,72845,68803,75114,23224,22899,5959,2660,2663,2558,2254,2336,3135,1640,437,1284,1148,864,1608,1244,1105,1693,1919,420256,124870,186557,280021,315702,105273,25927,26872,21591,56551,120934,50622,8204,24659,42316,68307,65865,53381,5171,18156,16796,10946,6706,3373,3678,7574,6963,5678,6605,2219,5283,7894,16969,9523,2237,953,14105,2376,17152,31461,55560,388141,345638,763331,11661,11490,94830,81164,90370,60075,37683,91571,41081,60192,2945,4771,7085,12715,2493,5638,2766,4250,7918,5849,1458,2336,3232,1656,1703,2462,5284,2140,3165,3468,2219
"G05_2_B_cluster_DBSCAN_round2_17",4440,6228,2486,11932,32457,38381,15194,15497,13261,22001,2411231,94649,37030,37414,7125,54900,1666742,728223,556291,12300,1963579,5323470,3637164,1709023,1658436,129981,5440260,830163,5699793,2031543,1550316,1197531,6480750,1104122,2776284,696141,315517,3645881,5199,9377,3831,10800,9588,2817,8853,12238,28837,8993,324464,189969,11730,7201,6772,18338,404344,127951,7238,13596,14425,44375,202256,285002,113537,282582,3120,207852,288819,352304,766782,1157854,16396,634039,755630,421246,1271277,568024,992816,843619,2250,4456,11842,18407,3231,24855,29292,188154,105697,104989,8570,180721,99641,519590,317294,21481,379536,435543,960612,152728,553057,751176,449583,378856,735960,345857,975544,809710,726225,670272,375709,855388,680193,33327,82287,66121,56537,116181,94367,375635,2907776,463164,185859,564916,194802,3879751,1439723,2441270,515288,604583,638983,1598203,1292532,1567254,154565,171446,276080,427776,316080,687183,479699,314390,635868,419019,15767,19850,38302,6536,20947,3081,757569,940737,237704,192453,98028,228191,1878732,2704378,2671175,1338834,2629502,1821765,1404506,3150182,3763606,2202906,606798,1201081,877768,1779897,1114582,1116224,587096,823865,841530,1409591,888915,715435,348863,325379,642376,460692,404818,317061,221894,53077,131550,55301,1199365,2832081,2165771,115392,294244,340603,3545742,1737445,2049792,1581642,1802411,1293011,2610535,2181776,767008,914209,661860,2452579,1258570,1399083,450441,426911,474949,715673,525960,418000,718061,785492,1529126,653813,723694
"G05_2_C_cluster_DBSCAN_round3_1",49342,41775,35859,55400,148051,195845,52126,52879,125803,113638,1450495,283932,321713,317100,90391,309011,3220172,1549890,1386696,87696,2134807,2472875,1593534,743902,843137,121702,1295846,1206155,943519,602217,872617,367804,1760552,2169418,975294,192089,162760,732146,49237,64393,27901,96351,25486,16809,49861,62099,58619,62569,584914,142103,128942,45257,40814,120090,107338,207714,15845,21423,10411,28254,144185,22751,41036,20199,13246,46233,626592,15910,9345,37535,15612,39781,1048119,19518,25248,36583,672977,545204,29552,22672,72456,184495,13872,72641,43549,359804,274733,404616,24863,3977660,2142800,895305,496079,38436,567261,479362,645462,114752,828735,410494,271273,440278,293904,171336,607817,578095,696367,226290,167987,332369,106275,5681,2076653,2554658,4977262,4394871,3108539,3154919,2300496,2481282,8140413,6330693,5528785,2365875,3123854,1941315,7651049,5371327,3145832,2257859,8513892,3704116,1855750,874460,1915227,1557130,694519,1553175,1751925,958691,1399667,1297384,280948,274227,230911,83171,99727,24511,1970167,1438243,805630,1920398,1501612,1185307,3038454,3180927,2367234,3111037,2951037,2190562,1582431,1733426,5046738,842537,4480848,1019168,610876,2138929,1273602,1534468,1502692,1386986,969814,1719472,1373998,1254660,593190,311145,705722,426282,640994,2843519,1955487,634688,737168,439322,8881215,4452317,3014741,1751965,3092594,2738286,721144,720404,750204,1228152,2549101,1508235,2225209,901087,3792581,2335618,1171757,2114052,8978051,5618330,2705209,1304070,986236,1060235,940916,639294,2541269,1093466,1288678,883084,1152857
"G05_3_E_cluster_DBSCAN_round7_3",1764074,1471804,2015787,1623133,1198733,884517,2315474,2055188,5454587,1904142,309219,767295,1611129,1071114,2116353,858313,1178609,497601,276926,383079,117251,458638,84417,60588,61004,329837,160287,276168,37313,18938,106132,132441,314078,705351,71196,7277,5763,59918,1325361,3846120,1791280,6485713,2994255,1940043,9811927,5710240,5806551,10169477,2463376,931505,2813840,2337125,3268599,1329276,299596,217260,1434560,360696,249627,425611,296832,262577,214807,256889,454141,162805,295497,174616,111393,124327,428720,66779,594757,26526,35829,148065,184693,53340,898587,403950,272653,395448,422249,267513,102596,862284,474930,448054,194743,406503,161226,117995,85892,175899,75163,169713,188764,132423,164389,68332,70468,76596,56765,80667,72084,120667,163627,47924,78827,82014,26032,1359,111797,118934,61380,196931,80281,295084,90151,90336,280336,154014,152645,36998,47710,23792,1651494,1261969,380612,53383,578202,142484,265436,4751,132477,138276,9323,5893,5590,43651,7611,18969,878606,255106,394490,561600,462032,120210,101502,48991,29002,188201,168843,125631,120656,36573,44600,108592,105695,85453,52392,46125,349601,40898,408010,41904,25775,148307,91253,165317,92800,155110,100476,138079,163203,165792,8718,24076,3842,1000,29880,96830,153035,847034,845547,951445,447168,457285,130785,150333,182426,159391,1865,29227,20962,58266,89814,40148,89306,14420,612899,190710,190954,111468,1683917,701406,483063,135657,30742,62142,70758,9406,217262,3000,24537,17712,13218
"G05_5_C_cluster_DBSCAN_round2_2",1021605,824414,686169,1329228,2447910,1014789,3094837,2708379,1844438,2762991,323416,1306787,1067376,649888,1733997,790580,664995,142468,489534,1051506,588759,368284,462828,406488,300832,1248204,449707,249971,427900,382855,299773,527847,776108,528043,491627,42964,48626,396138,954682,2222502,1188857,3004230,1791250,722010,1701533,1775638,1642939,1826493,3593550,2055395,2049204,2157400,659425,2812438,794238,140063,900017,1050922,950689,2109519,605391,884706,1118505,971686,984500,905012,419420,480592,492394,419370,1045395,327738,556105,315122,491046,448507,364583,389033,431674,765354,554938,707087,918042,614929,234956,1678526,543356,329720,367952,104223,55776,449343,418022,453088,235041,350655,756886,521175,424555,190083,234538,241438,444037,499032,380956,224955,368021,248264,336001,395710,191453,10981,126857,218080,126464,683329,106152,317375,150082,92664,108170,171603,117820,194014,134494,101472,416504,487197,230328,211518,161589,206439,219753,209519,279895,276349,160430,381384,298647,303121,516136,341872,779461,292997,314675,552876,654834,137558,87516,84116,53868,277305,328534,193320,152829,198476,120173,143842,126596,71988,280933,228178,188258,189981,187960,206048,219551,222155,147462,205315,184102,235399,316654,317764,236229,217070,222850,152247,267971,166646,258754,42835,69147,789142,1097075,909736,78865,103079,157676,110937,208027,159142,44577,101736,57657,146118,244211,197302,217405,180292,219436,307376,312428,267153,410388,301064,263097,353603,271361,261023,259372,253910,611634,386134,512097,386217,393689
"G05_6_E_cluster_DBSCAN_round5_10",2824,2857,2239,2316,10508,5151,9405,7763,10156,11578,66307,13002,12937,8299,7549,8554,94369,57189,18250,4492,19861,47864,18862,17651,16505,11085,28656,43683,15758,6745,15501,30423,48199,108251,25365,1701,2389,10196,1252,3483,1948,5407,6054,2152,7130,7087,10570,8212,56110,32670,7819,4050,3788,28506,6908,5114,2560,4354,3322,5891,23352,12205,4633,6328,1870,7650,9376,25849,45492,32608,3828,15493,28505,14752,19617,8658,23973,8649,1651,18701,10056,11094,8719,8990,3350,38235,10547,10076,4799,19418,8561,7828,3105,3484,3357,9779,8724,5375,9610,3548,3709,7092,3772,6923,7109,6176,8327,3040,3506,3688,1266,50,45760,23204,6510,37800,8926,57336,28185,16119,15335,54291,9118,9464,4859,7123,256707,202782,54489,18545,101280,26542,50613,13727,50566,34488,6699,25315,59485,27590,45715,56325,10097,3002,5455,4849,6728,1008,10254,6569,4627,6034,7098,3226,20910,53537,10218,10338,12941,7155,19103,31036,38500,5754,60052,23811,24412,22582,27114,20160,99818,44504,37923,27871,59737,25757,12738,7785,31119,9512,15269,6031,7343,7953,17555,9963,22544,56392,17605,5678,11109,5015,3194,3191,2279,4976,24350,37738,20491,7645,82955,48676,42718,20469,198558,61222,36643,30292,33827,10843,15579,6389,115131,15734,63289,28992,14894
"G05_6_E_cluster_DBSCAN_round6_6",922,602,931,980,4423,2141,7951,7110,11425,6893,24975,18144,5990,3354,4351,4010,111372,74400,8188,2233,22440,112563,29362,14173,14005,5261,38435,37643,20437,9319,16918,24538,50083,69919,17331,3144,1961,17599,596,822,940,1505,747,383,9478,6114,26110,4559,122689,19272,9923,2307,4095,28448,8263,10026,6753,1699,2562,2852,7715,8375,4627,3580,2624,5019,35360,10469,24961,30425,1902,25737,70296,12321,18708,8162,30079,16008,1328,6463,5253,6621,3479,6263,5265,70262,10216,9534,2469,201615,54729,23037,8781,3057,15741,23803,25542,7655,34234,23851,11320,20430,9463,17050,19462,53406,36086,10442,19673,17484,12932,838,18278,9903,6284,15048,5651,19234,33662,15063,16127,20658,15383,36395,18483,30107,122583,67028,72521,54796,140060,75586,36176,12950,32275,29545,14959,24958,27306,17688,28284,25009,4257,1383,1559,1128,1156,293,28246,5077,1983,4958,2354,2496,66845,36957,25845,32790,24149,16453,27085,28526,175307,17660,86056,20268,17488,51927,26487,38897,29957,25431,19213,33396,31107,27264,8172,6368,9660,7429,11970,6702,6653,3193,3818,3029,223801,88635,29592,4859,3894,5059,8685,4482,4458,11133,38625,30891,42591,13790,91671,39525,34385,46958,355722,126468,49328,19742,16567,16578,18231,7820,47093,14882,26106,16201,17829
"G05_6_E_cluster_DBSCAN_round7_6",37207,50551,22251,43494,171293,93529,142513,152023,89301,292777,323900,134976,140194,98107,87891,99818,386674,109896,54423,60948,98961,223272,117673,107698,63121,60191,77510,195018,61888,75525,63488,89659,173673,356073,108177,20680,16811,58663,21577,52710,23030,69775,72868,20993,57509,66997,67052,64461,425908,371016,77489,68355,47988,90930,43576,16507,26667,45697,24208,73791,36233,39050,17992,25632,11284,17664,54481,19237,23252,33243,13864,17525,97268,15202,18905,6122,40143,28622,26255,48884,37377,68669,41730,56342,30025,238748,98585,91584,30536,87196,47462,60307,33603,50567,26986,51895,102294,54310,57103,10518,40326,67912,38018,60940,88143,34650,87086,49248,38164,56264,6780,503,366024,469196,173893,772448,112655,267882,226692,180647,118423,228283,120976,212949,159895,257164,1074573,1066088,469796,292013,875155,380424,229327,54483,473097,406771,111888,294479,575439,442354,451328,652882,122849,49493,72708,76514,96234,19519,104424,56535,42284,110538,161129,123489,104431,360890,73652,118243,183933,65902,248132,311985,320708,89998,292332,144496,149147,156050,127624,111619,574487,121961,233023,277584,465312,176709,187805,43175,263306,48693,168735,107293,114664,149107,221773,290609,165952,240989,170724,140099,311143,116458,80601,79772,60183,62210,233903,330782,284381,126271,526437,244068,280947,132382,767316,167714,241259,369656,233752,112716,205051,94492,571323,64037,147201,190048,129961
"G05_7_A_cluster_DBSCAN_round8_2",3440,3387,3999,3265,4630,4908,8907,10915,13983,11233,13639,7771,8839,6968,9415,6826,43743,13419,6103,3590,5413,34050,7262,4129,5391,5371,8131,3125,6526,1567,5915,7158,23004,36917,8150,730,611,3317,2380,6396,3100,11066,4540,2858,11866,11107,15707,12311,23589,19480,10835,6922,6046,6928,5252,2953,3999,4192,3069,6144,6496,5775,4044,5078,2349,4478,3055,5357,4281,6333,4472,2197,5042,2893,2500,2634,2635,1635,3423,5328,3737,5481,3329,3985,2382,23301,8550,10105,2217,32304,29859,59616,18839,2573,4261,36604,31355,4826,29787,5203,21025,8906,6914,6645,8446,6120,8066,4370,9870,6020,1471,100,2947,1380,897,1802,1223,2630,4090,2911,2311,3772,2806,1873,1923,1036,9035,8262,3660,1589,6781,2820,1550,477,1657,1159,432,2365,2138,1553,1737,2120,4416,1701,2209,2936,1956,683,3791,1804,859,2606,2210,2369,15872,8712,6822,8361,5918,7649,3988,4425,26019,4106,20538,3148,1577,8682,5981,9407,5291,4800,2961,4009,4947,4777,835,523,941,528,1245,1900,1918,4038,4104,5537,17973,15344,6215,2482,2659,3327,1052,2019,1039,2487,3171,2677,8595,1735,13713,6727,3176,4064,102313,13427,3897,2954,1851,1216,1602,641,6311,1214,2873,2004,1619
"G05_7_C_cluster_DBSCAN_round4_18",11747,10414,6338,13178,9950,9231,21311,22557,34953,27263,28821,21067,25295,24437,22964,23231,49734,17584,12523,5693,9010,8585,3937,8664,5850,21447,8296,3972,2998,4588,6963,28956,13654,18414,7740,525,690,8458,3993,8834,4777,16834,7373,3935,26465,30109,28732,31865,37264,28939,27259,21272,14936,17345,5015,4382,8377,6363,4010,9133,8990,7854,8516,9739,5333,6549,3964,5479,5005,9359,9525,3409,8331,2002,6304,3599,4680,2705,6752,5116,3632,7035,4037,5380,2274,34370,11527,15682,2332,18579,13394,7444,3827,2720,2718,8229,12052,6888,11801,4232,3250,4745,3768,6193,6103,4655,7967,2995,4048,4203,1427,56,7789,7149,2768,10816,4507,9772,8707,8567,13945,8561,8577,5103,4966,3378,24606,29061,10915,4490,15053,7494,3993,1705,6402,2902,980,15960,22121,10153,10723,16028,12569,4845,7706,8398,5145,1615,7144,6013,2829,8667,10217,5758,8083,21343,12916,13888,17162,10388,4258,5821,12797,2546,19217,3779,4143,6488,5179,5325,18411,6957,7322,10899,18269,8737,4476,1381,9000,1935,6092,5615,6480,13958,12588,16174,14901,23445,22202,9340,15554,11770,3272,6392,3972,7392,4684,8343,5084,3847,18845,17077,11206,6716,59166,25368,7427,10130,8721,2816,3567,1651,43563,4905,15650,16316,10274
"G10_2_C_cluster_DBSCAN_round1_10",1089784,1249603,1742202,2498073,1615735,1180322,3390756,4992789,6896122,4416493,246848,1614776,423488,310886,2718358,285087,68693,45256,33228,205975,30658,18546,20595,13100,12206,56358,12855,6051,14882,6201,4557,17055,18367,8267,10267,898,582,11231,950960,3185214,3011671,2949629,1094532,735050,2755954,3073520,4312180,3219418,1656916,2272588,1581856,1666102,2560426,1415377,161125,21479,1020514,225178,144630,149746,34865,31962,44301,39688,659444,17798,4353,13731,18243,14282,239933,10852,4092,10777,10935,52896,8323,2888,3563887,5039924,2348735,4643217,4832948,2520924,1010158,15879127,581606,762961,2456445,21223,14762,116103,64411,551960,34813,45901,73372,71900,38432,25333,22606,19580,20206,25225,30976,20576,28937,18455,27985,31156,14743,545,11539,9957,4931,31510,15336,13058,6676,2406,4231,14078,4402,1388,709,344,1804,2268,735,317,965,503,821,461,539,559,191,355,266,219,607,331,934871,379970,504147,1309511,1216606,541532,29812,39840,39025,176050,207056,159707,10721,17829,36893,44608,48304,51345,10925,25229,19501,16954,5690,10301,9489,7432,9801,6977,6436,5191,5834,4598,8793,4587,3067,2263,3996,2452,3347,34229,93241,930422,1392797,2017611,14734,22459,40841,93188,93422,68989,31477,45058,44707,16594,3058,2167,11408,5885,2880,4062,2544,3784,7608,5347,2060,2775,1793,1746,2284,1395,4317,2251,2132,1348,1368
"G10_3_A_cluster_DBSCAN_round5_0",285649,240682,82880,255711,204134,168341,413350,432469,453221,332543,285299,326206,342513,250359,287283,238575,268755,185225,91944,40453,56475,63142,35831,52404,35438,234097,66905,69351,32081,25533,39809,125932,100120,124965,37886,2881,1898,22241,196426,429216,72691,876082,205260,170119,497545,661931,234991,787599,1162211,870454,582290,421581,199873,431092,140207,49729,61794,131405,90251,169720,100838,156248,136376,153710,38400,84781,38293,54088,36560,53087,62399,26253,63898,11730,22816,65770,34207,34056,68282,128480,205712,404012,83419,293273,117997,1421500,649042,621620,132533,872270,821733,129623,58947,140641,67305,248950,136804,100261,385029,56551,79011,94072,58798,70605,89661,66266,111498,28317,32882,56335,15313,710,215898,134959,53262,129065,77918,158548,69865,76215,118748,273224,89087,52915,32174,33474,795886,502190,152170,57232,293570,110690,76887,4753,47647,61981,14679,67545,60067,67611,75187,104578,194043,92542,122417,134470,101904,36477,50023,46621,40754,147216,79584,126984,77662,75142,30876,44594,62184,28287,28061,42906,87962,17820,146389,25487,22567,50938,37821,52660,90144,63766,42955,59470,71026,53621,11943,7111,20663,6209,16079,76666,114255,262469,263553,303919,110633,227806,141735,128498,207695,286306,12704,23495,18983,25660,47746,58599,60817,20708,235773,121881,117092,61946,763908,229356,120356,54090,33468,18627,23408,6777,172546,18127,48912,46174,32070
"G10_3_D_cluster_DBSCAN_round210_2",14100,33991,9278,22275,30295,87218,77251,156993,45921,190601,63089,132335,116182,125770,62037,123696,76095,171209,30482,30207,23997,20271,13585,39597,28507,69776,39899,14380,11883,5147,13273,31526,30924,25232,10232,847,681,10861,5039,23928,7246,29151,10093,15579,18158,31406,21803,34864,180087,362924,33746,70818,11748,45832,21501,32655,5447,56098,36250,129857,38810,135050,38572,69110,9653,54034,12218,55538,27005,61662,60860,21627,21770,12422,9430,16129,5904,5050,5966,17828,25726,67262,13728,62204,15550,365552,118028,154099,22169,170408,179136,80292,37134,32396,29215,116460,178709,138074,152839,42734,65757,76242,49116,79000,82420,33487,60534,30641,26439,24247,8299,497,31909,32583,17033,31771,19776,25062,12896,4747,13263,12539,9620,8215,3868,5563,84055,73684,32136,11869,43377,32200,6044,367,5259,4837,916,3393,5009,5390,4020,6636,101361,36661,46025,71419,25583,14386,19842,11813,7777,27509,29802,24191,20285,17462,14317,21303,17653,13207,6339,13913,29369,5615,51654,8098,4207,26301,9120,24310,17319,26525,9828,18808,12594,16692,2120,903,3517,716,3000,24145,26835,81754,40559,125022,24261,81314,29783,21492,54858,28516,3107,7769,3996,9443,15546,8953,15642,4621,72586,27991,25045,21160,165593,110342,25513,14328,4273,4673,3655,1265,20343,1672,3421,4441,3506
"G10_6_B_cluster_DBSCAN_round179_0",146842,202989,108303,211885,182652,234286,326559,303762,169917,542546,256741,456158,354145,332542,180288,419878,309593,306645,256127,281078,343051,180490,399686,392746,415060,642811,384360,254063,336555,195619,154245,384207,434653,348835,342628,25426,23418,344303,78864,221259,96793,421838,208302,79120,250193,207690,199371,288384,591072,805792,121113,187030,88708,149711,85217,75033,203618,386613,320966,835783,506950,839896,468939,668463,243950,403445,184034,501742,367999,467584,511047,362504,269428,320750,422759,569327,393010,448881,93941,168236,186421,192100,140662,293489,171703,712745,810864,446367,208128,235718,353878,782845,438506,472155,445269,1026465,1643434,844297,768203,581179,572737,570653,552281,565471,707311,436786,1595671,867779,864269,1343780,540461,43178,143850,117620,73148,133203,61227,167442,142311,53231,122958,111837,70268,164408,78516,136321,427916,392311,227970,242330,338320,290653,67531,97582,142561,137200,101484,270249,190417,147155,275223,208496,341460,131192,259575,253399,194463,45669,117720,78343,61600,138185,216607,230756,257616,406162,162135,289065,192157,158314,232999,265281,230858,242807,310973,292721,347325,368732,252979,336762,252217,232929,151702,261038,204560,193444,154791,128829,294871,240426,279588,151146,145178,333678,221724,359674,84420,365989,181167,152582,293259,213133,19997,36184,24468,101832,303832,258326,369571,218054,324489,276985,284430,327365,854484,515943,222661,205617,170329,240258,146266,119426,455122,397503,390166,349325,424082
"G10_6_E_cluster_DBSCAN_round5_1",1747,1472,1029,2318,6794,3782,7769,5827,10998,6676,29066,10651,8909,5694,4447,6481,91247,81893,19364,2551,29601,141733,28979,14204,12419,6499,32952,32541,13900,9053,24223,36864,58824,51597,17866,2873,2343,25486,785,1348,1405,2162,929,512,8391,6896,25706,5909,68024,12582,11626,2350,5247,7311,20080,26602,9165,1337,3043,3627,12164,17880,5915,5343,2498,10383,80608,23778,66995,41051,2407,30914,147649,19084,17626,20793,66562,27206,1363,1910,3689,6006,1679,5168,6106,74489,15371,15266,1666,187279,120361,47746,18358,4758,33225,38326,45284,17575,64660,21645,15909,46936,17167,37254,46724,67982,72716,15982,41208,34139,17733,1000,21149,10420,2870,17732,3913,13649,25837,11086,13303,24607,10185,18975,7610,11350,93523,60926,30035,19289,49075,27544,19950,3918,20988,13844,5744,11249,10614,9781,10777,15615,4955,2063,1445,1708,1393,373,19679,5537,1803,7935,2767,2502,38935,39509,15586,21962,15763,9817,24066,23118,125257,13355,49799,11176,7183,29879,10099,23450,11570,13442,10282,18576,11858,15631,2835,2353,3180,2121,6800,5678,5423,2894,4631,3686,171244,113287,23844,4530,4731,5000,12717,6049,6499,6819,31041,21254,26634,9996,58679,28126,19428,25373,172208,78359,32602,12326,5923,9043,7678,5215,16042,2192,5821,4785,5545
"G10_7_A_cluster_DBSCAN_round160_0",5393,5854,4181,7502,5387,4943,9554,9137,20598,10835,22127,8080,16193,11591,16705,15777,83907,131083,19016,4465,53457,42023,29368,18810,45203,28293,43168,21377,18927,7581,25254,64092,54327,54760,22657,1555,1401,10625,1730,5073,3045,9455,4187,2469,13461,15476,15196,16696,32409,28033,19137,13056,14527,12839,4471,6572,5144,2995,2562,5535,6782,9095,4462,5526,3150,6513,5848,7934,26039,51623,3842,11976,11000,63129,7776,4669,5562,3173,3247,5273,4214,6327,3712,4698,2312,24777,9035,10897,2268,52946,63554,16253,7847,2469,28746,81529,136958,9355,85651,25863,26730,26116,29300,29817,26692,26787,32919,16818,22127,21131,5954,358,8193,5770,1880,4313,2042,11449,20314,16066,12040,15369,9668,9399,9041,5576,113347,68094,28567,9982,89219,20529,10537,1893,10235,8614,2046,7043,7745,4988,7189,6326,6746,2221,3369,3675,1900,771,12600,5983,3773,7737,3691,6689,44160,20515,20162,29689,21481,29386,8364,8836,30797,8049,60124,12525,10939,21554,11694,20745,20776,15862,7762,13001,12250,14422,3419,2056,2164,1579,4433,4995,5174,5695,4223,6557,48980,22156,40626,7541,5650,11820,2614,9011,5296,10135,17866,12457,16659,5757,66599,23330,13296,13680,140805,74218,22118,11600,8233,5100,5275,1618,24313,3112,14098,3757,2966
"G10_7_C_cluster_DBSCAN_round1_6",9338,8808,7681,13281,15103,13969,12968,11908,35686,13323,162961,28337,38587,36956,30396,30107,789666,772038,63955,14015,155964,412263,166076,69167,100398,12167,283311,263698,111714,45581,111191,103531,239524,472962,99349,10180,6366,56312,3588,2344,2212,5553,1977,1194,11465,13446,25810,13344,107419,37957,40096,14331,11264,53517,19183,52224,4768,4056,3014,6447,50431,36331,10934,9574,2376,17602,124708,52207,105734,54072,4246,67596,243014,119865,28814,29673,153404,53925,10359,9769,21933,47412,6717,29752,15625,198750,118920,280040,14575,3759218,3390544,326574,192761,66399,317068,385865,418747,251059,775998,441718,200680,217210,160413,305066,367741,411958,384374,116548,217192,181483,59913,5689,88488,62097,54458,104692,80855,92897,171883,208664,439543,460184,211500,149051,160006,151772,1218797,608768,440628,275659,1678926,561206,166770,54539,122032,182391,51031,138842,135118,91762,167241,113737,33837,11959,8611,6597,5675,1842,188930,65428,24999,50546,38003,44035,717820,237524,208009,268765,280882,175941,179409,149300,966994,104659,665802,115594,73074,358001,258152,292135,180423,217156,107372,245411,176664,214311,30204,26930,31504,26057,34942,43630,57433,17987,26580,11569,985810,721536,262081,31014,85133,64395,46863,30656,58419,63627,211232,172935,474307,53688,656959,206038,172713,224963,2967946,1051750,302969,105867,70463,60352,67903,25516,274385,70745,105028,56133,74407
"G10_7_C_cluster_DBSCAN_round7_14",3731,4912,3340,4602,6043,7569,11701,12591,13525,14940,17506,13604,13901,12621,12846,11175,16031,19251,5865,3030,4639,5577,3639,2766,3955,5549,5705,3215,3204,1036,3500,5363,7564,7834,2932,166,189,2247,1732,5397,2788,8734,3782,2265,9193,10095,11101,10871,30341,30904,14723,14111,10495,11649,5540,4620,3882,4624,3223,7185,4788,10189,4253,6310,2407,5941,3565,3241,2613,5523,4182,2723,6760,1879,2481,3507,4495,2572,2744,5325,3487,5512,3187,4160,2128,24458,8870,11802,2026,23338,22125,5257,2765,2202,2798,8038,7799,5179,8733,5124,3478,3945,2966,4224,3916,5707,6701,2460,2742,3693,1430,107,2900,1424,658,1354,920,2662,4287,3092,2337,2420,2172,1138,1198,932,13797,9806,4331,1407,6276,3431,1773,399,1441,1222,332,1236,1762,1270,1344,1635,5904,3055,3333,4335,2498,1007,3443,1980,997,3533,2233,2857,6531,7091,3476,3529,2533,2941,1863,1752,5544,1745,7941,1609,1225,3329,2047,3502,3522,3126,1966,2938,3139,2826,540,339,655,259,794,3258,2844,6588,4854,9231,10341,17725,4276,3407,3387,4814,451,861,521,1284,2470,2327,2615,1302,9244,5165,3480,2942,26699,12597,4284,2300,1258,949,944,368,4994,825,2346,1418,988
